Node;L2;L3;L4;L5
M00042;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline [PATH:map00350 map01100]
M00043;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine [PATH:map00350 map01100]
M00044;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Tyrosine degradation, tyrosine => homogentisate [PATH:map00350 map01100]
M00533;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate [PATH:map00350 map01220 map01100 map01120]
M00545;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA [PATH:map00360 map01220 map01100 map01120]
M00037;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Melatonin biosynthesis, tryptophan => serotonin => melatonin [PATH:map00380 map01100]
M00038;KEGG - Module;Amino acid metabolism;Aromatic amino acid metabolism; Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate [PATH:map00380 map01100]
M00027;KEGG - Module;Amino acid metabolism;Other amino acid metabolism; GABA (gamma-Aminobutyrate) shunt [PATH:map00250 map00650 map01100]
M00369;KEGG - Module;Amino acid metabolism;Other amino acid metabolism; Cyanogenic glycoside biosynthesis, tyrosine => dhurrin [PATH:map00460 map01100 map01110]
M00118;KEGG - Module;Amino acid metabolism;Other amino acid metabolism; Glutathione biosynthesis, glutamate => glutathione [PATH:map00480 map01100]
M00055;KEGG - Module;Glycan metabolism;Glycan biosynthesis; N-glycan precursor biosynthesis [PATH:map00510 map01100]
M00072;KEGG - Module;Glycan metabolism;Glycan biosynthesis; N-glycosylation by oligosaccharyltransferase [PATH:map00510 map00513 map01100]
M00073;KEGG - Module;Glycan metabolism;Glycan biosynthesis; N-glycan precursor trimming [PATH:map00510 map01100]
M00074;KEGG - Module;Glycan metabolism;Glycan biosynthesis; N-glycan biosynthesis, high-mannose type [PATH:map00510 map00513 map01100]
M00075;KEGG - Module;Glycan metabolism;Glycan biosynthesis; N-glycan biosynthesis, complex type [PATH:map00510 map01100]
M00056;KEGG - Module;Glycan metabolism;Glycan biosynthesis; O-glycan biosynthesis, mucin type core [PATH:map00512 map01100]
M00872;KEGG - Module;Glycan metabolism;Glycan biosynthesis; O-glycan biosynthesis, mannose type (core M3) [PATH:map00515 map01100]
M00065;KEGG - Module;Glycan metabolism;Glycan biosynthesis; GPI-anchor biosynthesis, core oligosaccharide [PATH:map00563 map01100]
M00070;KEGG - Module;Glycan metabolism;Glycan biosynthesis; Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer [PATH:map00601 map01100]
M00071;KEGG - Module;Glycan metabolism;Glycan biosynthesis; Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer [PATH:map00601 map01100]
M00068;KEGG - Module;Glycan metabolism;Glycan biosynthesis; Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer [PATH:map00603 map01100]
M00069;KEGG - Module;Glycan metabolism;Glycan biosynthesis; Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3 [PATH:map00604 map01100]
M00057;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Glycosaminoglycan biosynthesis, linkage tetrasaccharide [PATH:map00532 map00534 map01100]
M00058;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Glycosaminoglycan biosynthesis, chondroitin sulfate backbone [PATH:map00532 map01100]
M00059;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Glycosaminoglycan biosynthesis, heparan sulfate backbone [PATH:map00534 map01100]
M00076;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Dermatan sulfate degradation [PATH:map00531 map01100]
M00077;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Chondroitin sulfate degradation [PATH:map00531 map01100]
M00078;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Heparan sulfate degradation [PATH:map00531 map01100]
M00079;KEGG - Module;Glycan metabolism;Glycosaminoglycan metabolism; Keratan sulfate degradation [PATH:map00531 map01100]
M00060;KEGG - Module;Glycan metabolism;Lipopolysaccharide metabolism; KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type [PATH:map00540 map01100]
M00866;KEGG - Module;Glycan metabolism;Lipopolysaccharide metabolism; KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type [PATH:map00540 map01100]
M00867;KEGG - Module;Glycan metabolism;Lipopolysaccharide metabolism; KDO2-lipid A modification pathway [PATH:map00540 map01100]
M00063;KEGG - Module;Glycan metabolism;Lipopolysaccharide metabolism; CMP-KDO biosynthesis [PATH:map00540 map01100]
M00064;KEGG - Module;Glycan metabolism;Lipopolysaccharide metabolism; ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540 map01100]
M00127;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P [PATH:map00730 map01100]
M00125;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD [PATH:map00740 map01100 map01110]
M00124;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750 map01100]
M00115;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; NAD biosynthesis, aspartate => NAD [PATH:map00760 map01100]
M00810;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde [PATH:map00760 map01100 map01120]
M00811;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde [PATH:map00760 map01100 map01120]
M00622;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Nicotinate degradation, nicotinate => fumarate [PATH:map00760 map01100 map01120]
M00119;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Pantothenate biosynthesis, valine/L-aspartate => pantothenate [PATH:map00770 map01100 map01110]
M00120;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Coenzyme A biosynthesis, pantothenate => CoA [PATH:map00770 map01100]
M00572;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP [PATH:map00780 map01100]
M00123;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Biotin biosynthesis, pimeloyl-ACP/CoA => biotin [PATH:map00780 map01100]
M00573;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin [PATH:map00780 map01100]
M00577;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin [PATH:map00780 map01100]
M00126;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Tetrahydrofolate biosynthesis, GTP => THF [PATH:map00790 map00670 map01100]
M00840;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF [PATH:map00790 map01100]
M00841;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF [PATH:map00790 map01100]
M00842;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Tetrahydrobiopterin biosynthesis, GTP => BH4 [PATH:map00790 map01100]
M00843;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4 [PATH:map00790 map01100]
M00880;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor [PATH:map00790 map01100]
M00140;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; C1-unit interconversion, prokaryotes [PATH:map00670 map01100]
M00141;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; C1-unit interconversion, eukaryotes [PATH:map00670 map01100]
M00868;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Heme biosynthesis, animals and fungi, glycine => heme [PATH:map00860 map01100]
M00121;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Heme biosynthesis, plants and bacteria, glutamate => heme [PATH:map00860 map01100 map01110]
M00846;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Siroheme biosynthesis, glutamate => siroheme [PATH:map00860 map01100 map01110]
M00847;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Heme biosynthesis, archaea, siroheme => heme [PATH:map00860 map01100 map01110]
M00122;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Cobalamin biosynthesis, cobinamide => cobalamin [PATH:map00860 map01100]
M00836;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430 [PATH:map00860 map01100 map01120]
M00117;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone [PATH:map00130 map01100 map01110]
M00128;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate => ubiquinone [PATH:map00130 map01100]
M00116;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Menaquinone biosynthesis, chorismate => menaquinol [PATH:map00130 map01100 map01110]
M00112;KEGG - Module;Metabolism of cofactors and vitamins;Cofactor and vitamin metabolism; Tocopherol/tocotorienol biosynthesis [PATH:map00130 map01100 map01110]
M00095;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C5 isoprenoid biosynthesis, mevalonate pathway [PATH:map00900 map01100 map01110]
M00849;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C5 isoprenoid biosynthesis, mevalonate pathway, archaea [PATH:map00900 map01100 map01110]
M00096;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900 map01100 map01110]
M00364;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C10-C20 isoprenoid biosynthesis, bacteria [PATH:map00900 map01100 map01110]
M00365;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C10-C20 isoprenoid biosynthesis, archaea [PATH:map00900 map01100 map01110]
M00366;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C10-C20 isoprenoid biosynthesis, plants [PATH:map00900 map01100 map01110]
M00367;KEGG - Module;Biosynthesis of terpenoids and polyketides;Terpenoid backbone biosynthesis; C10-C20 isoprenoid biosynthesis, non-plant eukaryotes [PATH:map00900 map01100 map01110]
M00097;KEGG - Module;Biosynthesis of terpenoids and polyketides;Other terpenoid biosynthesis; beta-Carotene biosynthesis, GGAP => beta-carotene [PATH:map00906 map01100 map01110]
M00372;KEGG - Module;Biosynthesis of terpenoids and polyketides;Other terpenoid biosynthesis; Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906 map01100 map01110]
M00371;KEGG - Module;Biosynthesis of terpenoids and polyketides;Other terpenoid biosynthesis; Castasterone biosynthesis, campesterol => castasterone [PATH:map00905 map01100 map01110]
M00773;KEGG - Module;Biosynthesis of terpenoids and polyketides;Macrolide biosynthesis; Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin [PATH:map00522 map01100 map01130]
M00774;KEGG - Module;Biosynthesis of terpenoids and polyketides;Macrolide biosynthesis; Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B [PATH:map00522 map01100 map01110]
M00775;KEGG - Module;Biosynthesis of terpenoids and polyketides;Macrolide biosynthesis; Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin [PATH:map00522 map01100 map01110]
M00776;KEGG - Module;Biosynthesis of terpenoids and polyketides;Macrolide biosynthesis; Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin [PATH:map00522 map01100 map01110]
M00777;KEGG - Module;Biosynthesis of terpenoids and polyketides;Macrolide biosynthesis; Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b [PATH:map00522 map01100 map01110]
M00824;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; 9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core [PATH:map01059 map01100 map01130]
M00825;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; 10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core [PATH:map01059 map01100 map01130]
M00826;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA [PATH:map01059 map01100 map01130]
M00827;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP [PATH:map01059 map01130]
M00828;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP [PATH:map01059 map01130]
M00829;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; 3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA [PATH:map01059 map01100 map01130]
M00830;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA [PATH:map01059 map01100 map01130]
M00831;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA [PATH:map01059 map01100 map01130]
M00832;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP [PATH:map01059 map01130]
M00834;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP [PATH:map01059 map01100 map01130]
M00833;KEGG - Module;Biosynthesis of terpenoids and polyketides;Enediyne biosynthesis; Calicheamicin biosynthesis, calicheamicinone => calicheamicin [PATH:map01059 map01100 map01130]
M00778;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide [PATH:map01056 map00253 map01100 map01130]
M00779;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin [PATH:map01057 map01100 map01130]
M00780;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline [PATH:map00253 map01057 map01100 map01130]
M00823;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Chlortetracycline biosynthesis, pretetramide => chlortetracycline [PATH:map00253 map01057 map01100 map01130]
M00781;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone [PATH:map01057 map01100 map01130]
M00782;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin [PATH:map01057 map01100 map01130]
M00783;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C [PATH:map01057 map01100 map01130]
M00784;KEGG - Module;Biosynthesis of terpenoids and polyketides;Type II polyketide biosynthesis; Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A [PATH:map01057 map01100 map01130]
M00793;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-L-rhamnose biosynthesis [PATH:map00521 map00523 map01100 map01130]
M00794;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-6-deoxy-D-allose biosynthesis [PATH:map00523 map01100 map01130]
M00795;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-beta-L-noviose biosynthesis [PATH:map00523 map01100 map01130]
M00796;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-D-mycaminose biosynthesis [PATH:map00523 map01100 map01130]
M00797;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-D-desosamine biosynthesis [PATH:map00523 map01100 map01130]
M00798;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-L-mycarose biosynthesis [PATH:map00523 map01100 map01130]
M00799;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-L-oleandrose biosynthesis [PATH:map00523 map01100 map01130]
M00800;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-L-megosamine biosynthesis [PATH:map00523 map01100 map01130]
M00801;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-L-olivose biosynthesis [PATH:map00523 map01100 map01130]
M00802;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-D-forosamine biosynthesis [PATH:map00523 map01100 map01130]
M00803;KEGG - Module;Biosynthesis of terpenoids and polyketides;Polyketide sugar unit biosynthesis; dTDP-D-angolosamine biosynthesis [PATH:map00523 map01100 map01130]
M00672;KEGG - Module;Biosynthesis of other secondary metabolites;beta-Lactam biosynthesis; Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin [PATH:map00311 map01100 map01130]
M00673;KEGG - Module;Biosynthesis of other secondary metabolites;beta-Lactam biosynthesis; Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C [PATH:map00311 map01130]
M00675;KEGG - Module;Biosynthesis of other secondary metabolites;beta-Lactam biosynthesis; Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate [PATH:map00332 map01100 map01130]
M00736;KEGG - Module;Biosynthesis of other secondary metabolites;beta-Lactam biosynthesis; Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A [PATH:map00261 map01100 map01130]
M00674;KEGG - Module;Biosynthesis of other secondary metabolites;beta-Lactam biosynthesis; Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate [PATH:map00331 map01100 map01130]
M00039;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Monolignol biosynthesis, phenylalanine/tyrosine => monolignol [PATH:map00940 map01100 map01110]
M00137;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Flavanone biosynthesis, phenylalanine => naringenin [PATH:map00940 map00941 map01100 map01110]
M00138;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Flavonoid biosynthesis, naringenin => pelargonidin [PATH:map00941 map01100 map01110]
M00661;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline [PATH:map00403 map01100 map01110]
M00370;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Glucosinolate biosynthesis, tryptophan => glucobrassicin [PATH:map00380 map00966 map01210 map01100 map01110]
M00814;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose [PATH:map00525 map01100 map01130]
M00815;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A [PATH:map00525 map01100 map01130]
M00786;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A [PATH:map00404 map01100 map01130]
M00789;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Rebeccamycin biosynthesis, tryptophan => rebeccamycin [PATH:map00404 map01100 map01130]
M00790;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin [PATH:map00404 map01100 map01130]
M00805;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Staurosporine biosynthesis, tryptophan => staurosporine [PATH:map00404 map01100 map01130]
M00808;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Violacein biosynthesis, tryptophan => violacein [PATH:map00404 map01100 map01130]
M00835;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Pyocyanine biosynthesis, chorismate => pyocyanine [PATH:map00405 map01100 map01130]
M00837;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis, L-proline => prodigiosin [PATH:map00333 map01100 map01130]
M00838;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin [PATH:map00333 map01100 map01130]
M00877;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Kanosamine biosynthesis glucose 6-phosphate => kanosamine [PATH:map00998 map01100]
M00785;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Cycloserine biosynthesis, arginine/serine => cycloserine [PATH:map00997 map01100 map01130]
M00787;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Bacilysin biosynthesis, prephenate => bacilysin [PATH:map00998 map01100 map01130]
M00848;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Aurachin biosynthesis, anthranilate => aurachin A [PATH:map00998 map01100 map01130]
M00788;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Terpentecin biosynthesis, GGAP => terpentecin [PATH:map00999 map01100 map01130]
M00819;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone [PATH:map00999 map01100 map01130]
M00876;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A [PATH:map00997 map01100]
M00875;KEGG - Module;Biosynthesis of other secondary metabolites;Biosynthesis of other secondary metabolites; Staphyloferrin B biosynthesis, L-serine => staphyloferrin B [PATH:map00997 map01100]
M00538;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Toluene degradation, toluene => benzoate [PATH:map00623 map01220 map01100 map01120]
M00537;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Xylene degradation, xylene => methylbenzoate [PATH:map00622 map01220 map01100 map01120]
M00419;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Cymene degradation, p-cymene => p-cumate [PATH:map00622 map01220 map01100 map01120]
M00547;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Benzene/toluene degradation, benzene => catechol / toluene => 3-methylcatechol [PATH:map00361 map00362 map00623 map01220 map01100 map01120]
M00548;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Benzene degradation, benzene => catechol [PATH:map00361 map00362 map01220 map01100 map01120]
M00551;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol [PATH:map00362 map00622 map01220 map01100 map01120]
M00637;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Anthranilate degradation, anthranilate => catechol [PATH:map00627 map01100 map01120]
M00568;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Catechol ortho-cleavage, catechol => 3-oxoadipate [PATH:map00362 map01220 map01100 map01120]
M00569;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA [PATH:map00362 map00622 map01220 map01100 map01120]
M00539;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate [PATH:map00622 map01220 map01100 map01120]
M00543;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate [PATH:map00621 map01220 map01100 map01120]
M00544;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate [PATH:map00621 map01220 map01100 map01120]
M00418;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Toluene degradation, anaerobic, toluene => benzoyl-CoA [PATH:map00623 map01220 map01100 map01120]
M00541;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA [PATH:map00362 map01220 map01100 map01120]
M00540;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA [PATH:map00362 map01220 map01100 map01120]
M00534;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Naphthalene degradation, naphthalene => salicylate [PATH:map00626 map01220 map01100 map01120]
M00638;KEGG - Module;Xenobiotics biodegradation;Aromatics degradation; Salicylate degradation, salicylate => gentisate [PATH:map00626 map01100 map01120]
